title,director,year,country,genre,rating,rating_people,quote
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,3130907,希望让人自由。
霸王别姬,陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2309865,风华绝代。
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2371950,失去的才是永恒的。 
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,2328178,一部美国近现代史。
千与千寻,宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,2418583,最好的宫崎骏，最好的久石让。 
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,1420378,最美的谎言。
这个杀手不太冷,吕克·贝松 Luc Besson,1994,法国 美国,剧情 动作 犯罪,9.4,2461569,怪蜀黍和小萝莉不得不说的故事。
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,2046340,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2224626,诺兰给了我们一场无法盗取的梦。
楚门的世界,彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.4,1902479,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,1199968,拯救一个人，就是拯救整个世界。
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1485555,永远都不能忘记你所爱的人。
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1804797,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1991402,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 音乐,9.3,1412709,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,2008,美国,科幻 动画 冒险,9.3,1418836,小瓦力，大人生。
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,9.2,2132459,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,刘伟强 / 麦兆辉,2002,中国香港,剧情 犯罪 惊悚,9.3,1488602,香港电影史上永不过时的杰作。
控方证人,比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑 惊悚,9.6,655411,比利·怀德满分作品。
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1641584,一生所爱。
熔炉,黄东赫 Dong-hyuk Hwang,2011,韩国,剧情,9.3,997949,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,2011,法国,剧情 喜剧,9.3,1227380,满满温情的高雅喜剧。
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,美国,剧情 犯罪,9.3,1051723,千万不要记恨你的对手，这样会让你失去理智。
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,1856509,死亡不是真的逝去，遗忘才是永恒的消亡。
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,2006,美国,剧情 传记 家庭,9.2,1624239,平民励志片。 
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,974394,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫,宫崎骏 Hayao Miyazaki,1988,日本,动画 奇幻 冒险,9.2,1356165,人人心中都有个龙猫，童年就永远不会消失。
哈利·波特与魔法石,Chris Columbus,2001,美国 英国,奇幻 冒险,9.2,1340766,童话世界的开端。
怦然心动,罗伯·莱纳 Rob Reiner,2010,美国,剧情 喜剧 爱情,9.1,1967836,真正的幸福是来自内心深处。
活着,张艺谋 Yimou Zhang,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,924375,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1144130,无尽的黑暗。
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,869502,史诗的终章。
我不是药神,文牧野 Muye Wen,2018,中国大陆,剧情 喜剧,9.0,2260747,对我们国家而言，这样的电影多一部是一部。
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,9.3,750914,Tomorrow is another day.
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.1,1430985,最后那些最无聊的事情，才是最值得怀念的。 
让子弹飞,姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1838330,你给我翻译翻译，神马叫做TMD的惊喜。
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,日本,爱情 动画 奇幻 冒险,9.1,1211030,带着心爱的人在天空飞翔。
素媛,李濬益 Jun-ik Lee,2013,韩国,剧情,9.3,743458,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
十二怒汉,Sidney Lumet,1957,美国,剧情,9.4,545688,1957年的理想主义。 
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,德国 瑞士,剧情 冒险 家庭,9.3,717147,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,2002,美国 加拿大,传记 犯罪 剧情,9.1,1139867,骗子大师和执著警探的你追我跑故事。 
天空之城,宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.2,961571,对天空的追逐，永不停止。 
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,2016,印度,剧情 传记 运动 家庭,9.0,1677387,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
鬼子来了,姜文 Wen Jiang,2000,中国大陆,剧情 喜剧,9.3,680886,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,李安 Ang Lee,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1436638,瑰丽壮观、无人能及的冒险之旅。
钢琴家,罗曼·波兰斯基 Roman Polanski,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,708668,
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,817760,承前启后的史诗篇章。
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1307924,
死亡诗社,彼得·威尔 Peter Weir,1989,美国,剧情,9.2,819662,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
何以为家,娜丁·拉巴基 Nadine Labaki,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1122447,凝视卑弱生命，用电影改变命运。
闻香识女人,马丁·布莱斯 Martin Brest,1992,美国,剧情,9.1,973831,
绿皮书,彼得·法雷里 Peter Farrelly,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1799216,去除成见，需要勇气。
大闹天宫,万籁鸣 Laiming Wan,1961(中国大陆),中国大陆,剧情 动画 奇幻 古装,9.4,482761,
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,1999,美国,动作 科幻,9.1,904653,
罗马假日,威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,9.1,1009821,
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,917022,
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,9.3,604999,
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,717401,
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞,9.1,917580,
辩护人,杨宇硕 Woo-seok Yang,2013,韩国,剧情,9.2,635708,电影的现实意义大过电影本身。
饮食男女,李安 Ang Lee,1994,中国台湾 美国,剧情 家庭,9.2,680722,
搏击俱乐部,大卫·芬奇 David Fincher,1999,美国,剧情 动作 悬疑 惊悚,9.0,920790,
本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,9.0,1059228,在时间之河里感受溺水之苦。
美丽心灵,朗·霍华德 Ron Howard,2001,美国,传记 剧情,9.1,824397,
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争,9.2,615060,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,8.9,1236849,
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006,德国,剧情 悬疑,9.2,608967,别样人生。
两杆大烟枪,盖·里奇 Guy Ritchie,1998,英国,剧情 喜剧 犯罪,9.1,646207,
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险,9.0,923253,10年的完美句点。
音乐之声,罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞,9.1,653329,
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,8.9,1051770,
阿凡达,詹姆斯·卡梅隆 James Cameron,2009,美国,动作 科幻 冒险,8.8,1514916,绝对意义上的美轮美奂。
功夫,周星驰 Stephen Chow,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.9,1260464,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1379428,你以为你以为的就是你以为的。
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón,2004,英国 美国,奇幻 冒险,9.0,839523,不一样的导演，不一样的哈利·波特。
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 战争,9.1,695501,
小鞋子,马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭,9.2,443999,
沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,8.9,970383,
飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,9.1,582733,
布达佩斯大饭店,韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,1032068,小清新的故事里注入了大历史的情怀。
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,1018339,人的命运被自己瞬间的抉择改变。
禁闭岛,Martin Scorsese,2010,美国,剧情 悬疑 惊悚,8.9,1062838,昔日翩翩少年，今日大腹便便。
致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,剧情 悬疑 惊悚,8.9,926784,孪生蝙蝠侠大战克隆金刚狼。
心灵捕手,格斯·范·桑特 Gus Van Sant,1997,美国,剧情,9.0,781758,
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,8.9,912670,
超脱,托尼·凯耶 Tony Kaye,2011,美国,剧情,9.0,680830,穷尽一生，我们要学会的，不过是彼此拥抱。
摩登时代,查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,329550,大时代中的人生，小人物的悲喜。
哈利·波特与密室,Chris Columbus,2002,英国 美国,奇幻 冒险,8.9,865056,
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.8,1044482,
春光乍泄,王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,681417,
致命ID,詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚,8.9,902087,
杀人回忆,奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,792163,
海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片,9.3,373518,海豚的微笑，是世界上最高明的伪装。
美国往事,赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,犯罪 剧情,9.1,450288,
一一,杨德昌 Edward Yang,2000,中国台湾 日本,剧情 爱情 家庭,9.1,457542,
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.8,927114,
红辣椒,今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,9.0,531339,梦的勾结。
七宗罪,大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,1012311,
唐伯虎点秋香,李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装,8.7,1171088,
狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,440523,人言可畏。
7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,8.9,599516,《我是山姆》的《美丽人生》。
甜蜜蜜,陈可辛 Peter Chan,1996,中国香港,剧情 爱情,8.9,631791,
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,780403,诺兰就是保证。
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.8,748529,以戏谑来戏谑戏谑。
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情,8.8,755529,
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,8.8,1098137,Balalala~~~
寄生虫,奉俊昊 Joon-ho Bong,2019,韩国,剧情,8.8,1481600,
第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,8.9,607145,
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983(中国大陆),中国大陆,动画 奇幻,9.2,307400,
重庆森林,王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情,8.8,882321,
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,美国 法国,剧情 爱情,8.9,619185,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
幽灵公主,宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,567626,
入殓师,泷田洋二郎 Yôjirô Takita,2008,日本,剧情,8.9,720310,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,美国,剧情 爱情 奇幻,8.7,1091188,
断背山,李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,752897,每个人心中都有一座断背山。
勇敢的心,梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,588457,
菊次郎的夏天,北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.9,647295,
未麻的部屋,今敏 Satoshi Kon,1997,日本,剧情 犯罪 动画 悬疑 惊悚,9.1,395169,
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.9,600576,曾经的那段美好会沉淀为一辈子的记忆。
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,英国 美国,悬疑 奇幻 冒险,8.8,755975,
茶馆,谢添 Tian Xie,1982(中国大陆),中国大陆,剧情 历史,9.6,185373,
消失的爱人,大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,1032896,年度最佳date movie。
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,英国 美国,喜剧 爱情 奇幻,8.8,747486,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
无人知晓,是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,355553,我的平常生活就是他人的幸福。
