title,director,year,country,genre,rating,rating_people,quote
倩女幽魂,程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.8,789661,
阳光灿烂的日子,姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,664877,
完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,344762,
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险,8.8,742483,愿我们都不用长大，每一座城堡都能永远存在。
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情,8.7,996882,
小森林 夏秋篇,森淳一 Junichi Mori,2014,日本,剧情,9.0,455667,那些静得只能听见呼吸的日子里，你明白孤独即生活。
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险,8.8,817495,和谐的生活离不开摸头与被摸头。
新世界,朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.9,497381,要做就做得狠一点，这样才能活下去。
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,787663,沉醉在电影的情感和视听氛围中无法自拔。
侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画,8.9,500810,
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,735350,
傲慢与偏见,乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.7,876365,爱是摈弃傲慢与偏见之后的曙光。
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,9.0,410384,
玩具总动员3,李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,8.9,564498,跨度十五年的欢乐与泪水。
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.9,534368,惠及一生的美丽。
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.8,616030,有时候幸福需要等一等。 
色，戒,李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.7,908390,假戏真情，爱欲深海
小森林 冬春篇,森淳一 Junichi Mori,2015,日本,剧情,9.0,405561,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.8,660372,热血沸腾，那个低俗、性感的无耻混蛋又来了。
釜山行,延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.6,1295642,揭露人性的丧尸题材力作。
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,中国大陆,冒险 动画 奇幻,9.2,289041,
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,8.7,1012206,Mr. I Don't Care其实也有Care的时候。
九品芝麻官,王晶 Jing Wong,1994,中国香港 中国大陆,剧情 喜剧 古装,8.8,753363,
花样年华,王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.8,711866,
萤火之森,大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.8,584948,触不到的恋人。
告白,中岛哲也 Tetsuya Nakashima,2010,日本,剧情 悬疑,8.8,715670,没有一人完全善，也没有一人完全恶。
喜宴,李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,404425,
玛丽和马克思,亚当·艾略特 Adam Elliot,2009,澳大利亚 美国,剧情 喜剧 动画,9.0,444498,你是我最好的朋友，你是我唯一的朋友 。
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.8,697227,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.6,1460118,写给影迷，动漫迷和游戏迷的一封情书。
大鱼,蒂姆·波顿 Tim Burton,2003,美国,剧情 爱情 奇幻 冒险,8.8,605425,
七武士,黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.3,219656,
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,690357,
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,9.0,334138,
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,9.0,362686,
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,830957,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,8.8,619211,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
你的名字。,新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.5,1531433,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
恐怖直播,金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,8.7,702496,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2003,美国,动作 科幻,8.8,478726,
电锯惊魂,詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.7,583730,真相就在眼前。
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,中国大陆 中国香港,剧情,9.5,163015,
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,英国 美国,剧情 犯罪,8.7,884328,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.8,487034,Jared Leto的腿比女人还美！
小丑,托德·菲利普斯 Todd Phillips,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,1090900,
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.9,450501,像吃了苏打饼一样干脆的电影。
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,2013,美国,喜剧 动画 冒险,8.7,891897,老少皆宜，这就是好莱坞动画的魅力。
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,美国,动画 奇幻 音乐,8.7,1081422,
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,368631,
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情,8.9,447259,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情,9.0,321928,
海街日记,是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭,8.8,495481,是枝裕和的家庭习作。
英雄本色,吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.6,583921,
无间道2,刘伟强 / 麦兆辉,2003,中国香港,剧情 犯罪 惊悚,8.8,536519,
风之谷,宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.9,379447,
疯狂的石头,宁浩 Hao Ning,2006,中国大陆 中国香港,喜剧 犯罪,8.6,889435,中国版《两杆大烟枪》。
心迷宫,忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.7,584076,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,科幻 惊悚 冒险,8.9,371130,
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,美国,喜剧 歌舞 爱情,9.1,252609,
纵横四海,吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,458088,
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,645516,
卢旺达饭店,特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,354531,当这个世界闭上双眼，他却敞开了怀抱。
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,8.7,587254,迪士尼和皮克斯拿错剧本的产物。
小偷家族,是枝裕和 Hirokazu Koreeda,2018,日本,剧情 犯罪 家庭,8.7,869331,我们组成了家。
末路狂花,雷德利·斯科特 Ridley Scott,1991,美国 英国 法国,犯罪 剧情 惊悚,9.0,310433,
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,2002,美国,喜剧 动画 冒险,8.6,661578,
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,中国台湾,剧情 犯罪,8.9,342849,
岁月神偷,罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭,8.7,599953,岁月流逝，来日可追。
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,945222,不要企图在重复中寻找已经失去的爱。
东京教父,今敏 Satoshi Kon,2003,日本,剧情 喜剧 动画,9.0,269868,
忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,日本,剧情,9.2,210583,
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,8.7,501076,
高山下的花环,谢晋 Jin Xie,1984(中国大陆),中国大陆,剧情 战争,9.5,133426,
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,476608,始于荒诞，止于更荒诞。
遗愿清单,罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,8.7,510237,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,中国台湾,剧情 喜剧,8.7,522565,人们可以登上月球，却永远无法探索人们内心的宇宙。
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国,剧情 爱情,8.6,786570,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,614126,
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童,8.9,359152,感情不分食草或者食肉。
源代码,邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,8.6,892697,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,澳大利亚 美国,动作 科幻 冒险,8.7,592947,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
可可西里,陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪,8.9,330266,坚硬的信仰。
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.6,658520,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
城市之光,Charles Chaplin,1931,美国,喜剧 剧情 爱情,9.3,162659,
芙蓉镇,谢晋 Jin Xie,1987,中国大陆,剧情 爱情,9.3,170560,
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,英国 美国,剧情 传记 同性 音乐,8.6,661633,
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.6,821751,黑暗之美。
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,日本,剧情 爱情,8.6,754493,
青蛇,徐克 Hark Tsui,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,568898,
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,美国,剧情 爱情 歌舞,8.4,1038065,
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,8.8,367519,
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,8.5,1026303,黑小鸭速效美白记。
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,英国 美国,奇幻 冒险,8.6,657587,最忠于原著的一部。
雨人,巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,429776,
白日梦想家,本·斯蒂勒 Ben Stiller,2013,美国 英国,剧情 喜剧 冒险,8.6,589983,
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国 英国,剧情 科幻,8.7,481906,
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.5,783989,
新龙门客栈,李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,484249,
无耻混蛋,昆汀·塔伦蒂诺 Quentin Tarantino,2009,德国 美国,剧情 犯罪,8.7,526232,昆汀同学越来越变态了，比北野武还杜琪峰。
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争,8.9,281540,
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,日本,动画 奇幻 冒险,8.6,546734,
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.5,722468,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
罗生门,黑泽明 Akira Kurosawa,1950,日本,剧情 犯罪 悬疑,8.8,342340,
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚,8.8,330229,
大红灯笼高高挂,张艺谋 Yimou Zhang,1991,中国大陆 中国香港 中国台湾,剧情,8.8,336630,
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,8.6,647030,小成本大魅力。
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,615037,我们都有权利不与自己的过去和解。
哈利·波特与凤凰社,大卫·叶茨 David Yates,2007,英国 美国,奇幻 冒险,8.5,656166,
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2003,美国,动作 科幻,8.7,436978,
火星救援,雷德利·斯科特 Ridley Scott,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,796482,
萤火虫之墓,高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,426817,
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,583315,世界不完美，爱会有奇迹。
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,美国 德国,剧情 犯罪,8.7,399008,做一颗让别人需要你的棋子。
步履不停,是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,8.8,307391,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
千年女优,今敏 Satoshi Kon,2001,日本,动画 剧情 爱情,8.8,301225,
血钻,爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,407537,每个美丽事物背后都是滴血的现实。
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,8.7,381473,谁说王家卫镜头很晃？
蜘蛛侠：平行宇宙,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,2018,美国,动作 科幻 动画 冒险,8.6,726161,
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争,8.8,299269,
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,389439,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
弱点,约翰·李·汉考克 John Lee Hancock,2009,美国,剧情 家庭 传记 运动,8.7,341535,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
谍影重重,道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,464648,
隐藏人物,特奥多尔·梅尔菲 Theodore Melfi,2016,美国,剧情 传记 历史,8.9,251141,
冰雪奇缘,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013,美国,喜剧 动画 奇幻 歌舞,8.5,765236,
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,8.6,476760,
哪吒之魔童降世,饺子 Yu Yang,2019,中国大陆,剧情 喜剧 动画 奇幻,8.4,1988218,
