campaign_id,name,channel,start_date,end_date,target_region,target_category,target_audience,budget,spend,impressions,clicks,conversions,ctr,conversion_rate,cpa,roi,objective,notes
CAM001,Sports & Outdoors Launch 1,TV,2022-12-01,2023-02-02,Europe,Sports & Outdoors,New Customers,97718.58,102806.52,944747,88072,740,0.0932,0.0084,138.93,-0.26,Brand Awareness,
CAM002,Books & Media Launch 2,TV,2023-10-03,2023-10-13,Asia Pacific,Books & Media,New Customers,90128.37,89339.77,169776,19459,7673,0.1146,0.3943,11.64,,Customer Retention,
CAM003,Beauty & Personal Care Sale 3,Email,2022-09-04,2022-10-01,Latin America,Beauty & Personal Care,All,65771.47,69628.12,493255,64094,9259,0.1299,0.1445,7.52,13.49,Customer Retention,Answer majority spend. General finally save throw note strategy.
CAM004,Sports & Outdoors Sale 4,Radio,2022-05-25,2022-07-21,Latin America,Sports & Outdoors,New Customers,62815.62,61727.86,949814,58174,5058,0.0612,0.0869,12.2,8.0,Sales,
CAM005,Electronics Awareness 5,Display Ads,2023-04-19,2023-05-23,Latin America,Electronics,New Customers,5902.58,5889.19,928038,96624,3860,0.1041,0.0399,1.53,,Lead Generation,Well public little at true leader. Our respond race religious.
CAM006,Fashion Sale 6,TV,2023-06-03,2023-07-07,Latin America,Fashion,Existing Customers,73362.88,72742.76,696088,94094,5593,0.1352,0.0594,13.01,10.74,Brand Awareness,Both officer moment artist TV study ball. Against drive student spring.
CAM007,Sports & Outdoors Promotion 7,Affiliate,2022-12-21,2023-02-07,Latin America,Sports & Outdoors,New Customers,63241.94,55991.86,891087,25358,798,0.0285,0.0315,70.17,0.94,Sales,
CAM008,Home & Kitchen Promotion 8,Social Media,2023-04-28,2023-06-14,Asia Pacific,Home & Kitchen,All,93713.05,91052.88,564817,84395,249,0.1494,0.003,365.67,-0.75,Sales,
CAM009,Toys & Games Awareness 9,Search Engine,2023-04-15,2023-05-01,Asia Pacific,Toys & Games,All,22097.35,20200.28,752837,83533,7390,0.111,0.0885,2.73,57.47,Sales,
CAM010,Electronics Awareness 10,Social Media,2023-05-16,2023-07-22,Middle East & Africa,Electronics,Existing Customers,43804.12,38760.85,882868,43203,3881,0.0489,0.0898,9.99,15.14,Brand Awareness,Trouble discussion maybe now drop five father. Pretty exist total who condition as.
CAM011,Electronics Launch 11,Affiliate,2022-12-06,2022-12-13,North America,Electronics,Existing Customers,87131.77,70034.12,322746,18878,7082,0.0585,0.3751,9.89,10.86,Brand Awareness,
CAM012,Home & Kitchen Awareness 12,Email,2022-05-25,2022-07-17,Latin America,Home & Kitchen,Existing Customers,9960.94,11787.68,999609,38122,4459,0.0381,0.117,2.64,,Customer Retention,
CAM013,Sports & Outdoors Awareness 13,Affiliate,2022-04-18,2022-05-26,Latin America,Sports & Outdoors,Existing Customers,40748.19,33945.27,681378,40337,1255,0.0592,0.0311,27.05,4.6,Brand Awareness,Remember reflect ahead wall lead above street. Through evidence woman cover.
CAM014,Books & Media Promotion 14,Search Engine,2022-11-21,2023-02-02,North America,Books & Media,New Customers,56882.39,52366.77,784652,27373,9751,0.0349,0.3562,5.37,13.54,Sales,
CAM015,Books & Media Launch 15,TV,2022-08-21,2022-10-02,Latin America,Books & Media,Existing Customers,60042.36,48649.78,218957,32152,8580,0.1468,0.2669,5.67,30.28,Sales,Choose power no meet nearly. Thought kid live. Join general full seek near.
CAM016,Toys & Games Awareness 16,TV,2022-09-13,2022-12-11,Latin America,Toys & Games,All,41478.84,38115.56,732370,65698,8299,0.0897,0.1263,4.59,41.39,Customer Retention,Nearly lose hotel employee. Attack expect total professor kid knowledge imagine culture.
CAM017,Home & Kitchen Sale 17,Direct Mail,2023-06-03,2023-07-28,Asia Pacific,Home & Kitchen,All,63888.7,58224.79,956145,12889,9246,0.0135,0.7174,6.3,30.67,Lead Generation,Weight form reflect professor. Likely whose idea certain attorney decide.
CAM018,Books & Media Launch 18,Direct Mail,2023-08-05,2023-11-02,Latin America,Books & Media,New Customers,77644.99,64780.08,311564,26555,5987,0.0852,0.2255,10.82,6.66,Customer Retention,
CAM019,Electronics Promotion 19,Search Engine,2022-11-16,2023-01-02,Middle East & Africa,Electronics,All,95898.11,112002.36,988638,68031,8075,0.0688,0.1187,13.87,5.6,Lead Generation,
CAM020,Electronics Awareness 20,TV,2022-12-22,2023-01-20,Latin America,Electronics,All,63932.04,63509.16,276231,13201,4819,0.0478,0.365,13.18,11.35,Brand Awareness,
CAM021,Toys & Games Promotion 21,Direct Mail,2022-02-01,2022-03-03,North America,Toys & Games,Existing Customers,54135.02,45672.87,790020,39775,4077,0.0503,0.1025,11.2,5.68,Sales,
CAM022,Home & Kitchen Sale 22,Social Media,2022-10-24,2023-01-13,Asia Pacific,Home & Kitchen,Existing Customers,74101.31,68443.08,291934,13276,5791,0.0455,0.4362,11.82,3.83,Customer Retention,Produce interview skin TV effect study. Situation bill add. Note pass leg blood today reach.
CAM023,Toys & Games Promotion 23,Direct Mail,2022-12-26,2023-02-24,North America,Toys & Games,Existing Customers,33820.46,36912.06,867881,18162,5424,0.0209,0.2986,6.81,20.93,Lead Generation,"City this respond bar.
Anyone central section over appear rest wish. Kitchen rate spring four land."
CAM024,Electronics Launch 24,Radio,2023-06-21,2023-07-12,Asia Pacific,Electronics,Existing Customers,49566.0,42295.35,43736,22666,2492,0.5182,0.1099,16.97,766%,Customer Retention,
CAM025,Fashion Sale 25,Social Media,2023-03-29,2023-05-10,North America,Fashion,Existing Customers,71417.66,61328.83,338339,94421,1955,0.2791,0.0207,31.37,3.43,Sales,
CAM026,Beauty & Personal Care Promotion 26,Direct Mail,2023-11-14,2023-12-31,Asia Pacific,Beauty & Personal Care,Existing Customers,90370.02,88657.7,172494,91980,1994,0.5332,0.0217,44.46,1.72,Brand Awareness,
CAM027,Electronics Promotion 27,Radio,2022-07-09,2022-08-09,Latin America,Electronics,All,44325.41,37609.3,415338,55947,7953,0.1347,0.1422,4.73,12.77,Lead Generation,Write population meet back. Meeting allow fact board hold forward. Major ability Mr town marriage.
CAM028,Sports & Outdoors Promotion 28,Radio,2023-06-24,2023-08-24,Middle East & Africa,Sports & Outdoors,All,41994.63,36646.28,355916,34589,5910,0.0972,0.1709,6.2,14.59,Customer Retention,
CAM029,Beauty & Personal Care Launch 29,Display Ads,2023-03-14,2023-04-11,North America,Beauty & Personal Care,Existing Customers,93283.48,93815.73,243442,18354,4011,0.0754,0.2185,23.39,3.97,Brand Awareness,
CAM030,Fashion Sale 30,Search Engine,2023-11-23,2023-12-31,Asia Pacific,Fashion,New Customers,43522.52,42467.79,582744,55439,4244,0.0951,0.0766,10.01,16.53,Lead Generation,
CAM031,Fashion Promotion 31,Email,2023-06-26,2023-07-11,Latin America,Fashion,Existing Customers,82227.78,78826.62,894156,70918,4019,0.0793,0.0567,19.61,2.76,Brand Awareness,Cell worker name professional government. Drug resource when loss area.
CAM032,Home & Kitchen Promotion 32,Affiliate,2022-08-31,2022-10-23,Latin America,Home & Kitchen,Existing Customers,15894.46,15443.47,803813,2259,1051,0.0028,0.4653,14.69,1201%,Customer Retention,
CAM033,Books & Media Promotion 33,Email,2023-08-12,2023-09-01,Asia Pacific,Books & Media,New Customers,36818.61,32802.37,439515,12675,1729,0.0288,0.1364,18.97,8.74,Sales,Save collection deal local build. Camera simply form again. Late around marriage people push win.
CAM034,Toys & Games Sale 34,Email,2022-11-04,2023-01-01,Latin America,Toys & Games,All,54763.77,52332.86,864195,43466,8759,0.0503,0.2015,5.97,29.75,Customer Retention,
CAM035,Home & Kitchen Promotion 35,Search Engine,2022-11-30,2022-12-12,Middle East & Africa,Home & Kitchen,Existing Customers,53624.97,47776.38,845373,9996,6805,0.0118,0.6808,7.02,,Lead Generation,Me live her race reason list. Stuff make audience. Home contain second common.
CAM036,Toys & Games Sale 36,Radio,2023-10-02,2023-11-23,Middle East & Africa,Toys & Games,New Customers,60004.41,48819.83,119117,22664,1020,0.1903,0.045,47.86,1.99,Lead Generation,
CAM037,Electronics Sale 37,Email,2023-11-21,2023-12-11,Europe,Electronics,All,44066.8,43649.56,714519,89023,1067,0.1246,0.012,40.91,0.29,Lead Generation,
CAM038,Home & Kitchen Awareness 38,Radio,2023-10-27,2023-12-09,Asia Pacific,Home & Kitchen,Existing Customers,40873.1,33036.15,838297,13962,9369,0.0167,0.671,3.53,23.44,Brand Awareness,
CAM039,Beauty & Personal Care Promotion 39,TV,2023-07-23,2023-10-12,Europe,Beauty & Personal Care,New Customers,42940.77,41315.45,346423,39448,8076,0.1139,0.2047,5.12,28.18,Lead Generation,Seat yet dream increase country. Small common threat television third write.
CAM040,Home & Kitchen Launch 40,Radio,2023-07-02,2023-08-16,Latin America,Home & Kitchen,All,31602.24,25628.41,567301,26028,4790,0.0459,0.184,5.35,,Sales,
CAM041,Home & Kitchen Sale 41,Email,2023-10-03,2023-10-20,Middle East & Africa,Home & Kitchen,Existing Customers,45116.16,40912.42,940024,54083,4180,0.0575,0.0773,9.79,15.79,Sales,Number air interesting audience language structure administration.
CAM042,Sports & Outdoors Promotion 42,Direct Mail,2023-04-02,2023-04-19,North America,Sports & Outdoors,All,41568.71,41369.7,274054,25858,7686,0.0944,0.2972,5.38,17.94,Lead Generation,
CAM043,Beauty & Personal Care Sale 43,Email,2022-10-24,2022-11-12,North America,Beauty & Personal Care,Existing Customers,42460.32,35733.91,835276,94647,8539,0.1133,0.0902,4.18,41.71,Customer Retention,Method picture me left involve although. Way culture interesting draw would apply read.
CAM044,Fashion Awareness 44,Affiliate,2023-10-12,2023-10-30,Europe,Fashion,Existing Customers,87888.64,78554.07,450051,78912,7903,0.1753,0.1001,9.94,7.66,Brand Awareness,
CAM045,Sports & Outdoors Launch 45,TV,2023-02-03,2023-04-13,Middle East & Africa,Sports & Outdoors,Existing Customers,78588.99,70621.18,117758,85155,84,0.7231,0.001,840.73,-0.83,Lead Generation,
CAM046,Fashion Launch 46,Display Ads,2022-09-03,2022-10-14,North America,Fashion,New Customers,32342.0,32205.77,446091,40358,6565,0.0905,0.1627,4.91,13.73,Sales,Today high indeed level significant usually. In tax build coach measure. Admit various structure.
CAM047,Sports & Outdoors Sale 47,Email,2022-09-03,2022-11-09,North America,Sports & Outdoors,All,59726.56,53703.39,885940,12519,3983,0.0141,0.3182,13.48,7.5,Customer Retention,
CAM048,Electronics Launch 48,TV,2023-06-09,2023-08-06,Middle East & Africa,Electronics,New Customers,18156.88,14844.74,303090,98632,1441,0.3254,0.0146,10.3,14.02,Lead Generation,Foot rich production my. Development into side clearly room.
CAM049,Home & Kitchen Launch 49,Display Ads,2022-04-01,2022-05-31,Latin America,Home & Kitchen,Existing Customers,97636.04,109490.02,52114,24628,8542,0.4726,0.3468,12.82,3.15,Brand Awareness,
CAM050,Toys & Games Awareness 50,Affiliate,2023-05-29,2023-07-03,Middle East & Africa,Toys & Games,All,85112.06,80165.39,703714,93110,7150,0.1323,0.0768,11.21,14.33,Brand Awareness,
